id,trial,Reason
264,3,0-crossing
264,4,0-crossing
364,5,0-crossing
264,8,0-crossing
264,9,0-crossing
370,1,0-crossing
370,5,0-crossing
370,6,0-crossing
370,8,0-crossing
370,9,0-crossing
370,10,0-crossing
418,1,0-crossing
652,5,0-crossing
652,2,0-crossing
652,7,0-crossing
652,10,0-crossing
692,1,0-crossing
692,9,0-crossing
692,10,0-crossing
809,1,0-crossing
809,3,0-crossing
809,4,0-crossing
809,5,0-crossing
809,6,0-crossing
809,8,0-crossing
996,5,0-crossing
161,2,0-crossing
821,2,0-crossing
821,4,0-crossing
821,6,0-crossing
821,7,0-crossing
821,8,0-crossing
239,7,0-crossing
962,9,0-crossing
962,4,0-crossing
760,6,0-crossing
760,7,0-crossing
438,6,0-crossing
354,1,0-crossing
354,7,0-crossing
354,9,0-crossing
214,1,Late start
298,8,0-crossing
55,1,0-crossing
494,8,0-crossing
494,9,0-crossing
989,1,0-crossing
989,2,0-crossing
989,6,0-crossing
362,3,0-crossing
876,3,0-crossing
918,2,0-crossing
918,5,0-crossing
918,6,0-crossing
918,8,0-crossing
53,4,0-crossing
53,9,0-crossing
716,3,0-crossing
637,1,0-crossing
637,2,0-crossing
103,1,0-crossing
103,4,0-crossing
103,5,0-crossing
103,7,0-crossing
103,8,0-crossing
281,5,0-crossing
90,2,0-crossing
90,5,0-crossing
90,6,0-crossing
90,8,0-crossing
509,1,Late start
538,8,0-crossing
538,9,0-crossing
867,1,0-crossing
867,5,0-crossing
867,5,0-crossing
867,6,0-crossing
867,7,0-crossing
867,8,0-crossing
867,9,0-crossing
867,10,0-crossing
831,8,0-crossing
831,10,0-crossing
765,1,Late start
533,1,0-crossing
533,5,0-crossing
533,6,0-crossing
533,9,0-crossing
177,2,0-crossing
177,5,0-crossing
177,6,0-crossing
177,8,0-crossing
177,10,0-crossing
606,9,0-crossing
104,3,0-crossing
104,6,0-crossing
104,10,0-crossing
992,1,0-crossing
992,9,0-crossing
43,10,0-crossing
726,1,Late start
909,4,0-crossing
909,7,0-crossing
909,8,0-crossing
909,9,0-crossing
909,10,0-crossing
675,1,0-crossing
675,2,0-crossing
675,4,0-crossing
675,6,0-crossing
493,7,0-crossing
889,1,0-crossing
889,2,0-crossing
437,5,0-crossing
437,9,0-crossing
437,10,0-crossing
169,9,0-crossing
108,5,Late start
988,1,0-crossing
988,2,0-crossing
988,6,0-crossing
525,2,0-crossing
525,5,0-crossing
525,7,0-crossing
525,9,0-crossing
525,10,0-crossing
249,5,0-crossing
188,3,0-crossing
188,4,0-crossing
143,7,0-crossing
143,9,0-crossing
23,8,0-crossing
256,2,0-crossing
900,1,0-crossing
900,6,0-crossing
900,7,0-crossing
900,8,0-crossing
70,2,0-crossing
70,3,0-crossing
70,6,0-crossing
70,7,0-crossing
70,8,0-crossing
70,9,0-crossing
70,10,0-crossing
98,1,0-crossing
636,4,0-crossing
636,5,0-crossing
194,10,Late start
360,1,0-crossing
360,4,0-crossing
833,1,0-crossing
833,7,0-crossing
601,1,0-crossing
601,6,0-crossing
601,8,0-crossing
519,7,0-crossing
519,10,0-crossing
885,4,0-crossing
680,3,0-crossing
680,5,0-crossing
680,6,0-crossing
680,8,0-crossing
680,10,0-crossing
706,3,0-crossing
706,5,0-crossing
706,9,0-crossing
895,4,0-crossing
895,9,0-crossing
895,10,0-crossing
563,1,0-crossing
563,2,0-crossing
563,4,0-crossing
731,1,0-crossing
731,4,0-crossing
731,6,0-crossing
677,2,0-crossing
677,4,0-crossing
677,6,0-crossing
190,10,0-crossing
457,1,0-crossing
457,5,0-crossing
585,4,0-crossing
585,5,0-crossing
585,9,0-crossing
890,2,0-crossing
971,10,0-crossing
393,2,0-crossing
393,3,0-crossing
393,7,0-crossing
118,1,0-crossing
118,2,Late start
845,2,0-crossing
845,5,0-crossing
845,6,0-crossing
845,10,0-crossing
122,9,0-crossing
195,1,0-crossing
195,4,0-crossing
383,9,0-crossing
383,10,0-crossing
579,3,0-crossing
579,5,0-crossing
579,6,0-crossing
579,7,0-crossing
816,6,0-crossing
816,7,0-crossing
816,8,0-crossing
764,7,0-crossing
28,4,0-crossing
207,5,0-crossing
129,1,0-crossing
129,5,0-crossing
129,9,0-crossing
802,7,0-crossing
742,1,0-crossing
742,5,0-crossing
128,6,0-crossing
947,1,0-crossing
947,6,0-crossing
947,7,0-crossing
947,8,0-crossing
745,5,0-crossing
745,6,0-crossing
745,9,0-crossing
565,2,0-crossing
12,4,0-crossing
12,5,0-crossing
12,7,0-crossing
12,10,0-crossing
19,1,0-crossing
19,2,Late start
19,4,0-crossing
436,2,0-crossing
986,5,0-crossing
986,6,0-crossing
