"id","block","x"
744,"Second",0
744,"Second",1
744,"Second",2
744,"Second",3
744,"Second",4
744,"Second",5
744,"Second",6
744,"Second",7
744,"Second",8
744,"Second",9
637,"First",10
637,"First",11
637,"First",12
637,"First",13
637,"First",14
637,"First",15
637,"First",16
637,"First",17
637,"First",18
637,"First",19
438,"Second",20
438,"Second",21
438,"Second",22
438,"Second",23
438,"Second",24
438,"Second",25
438,"Second",26
438,"Second",27
438,"Second",28
438,"Second",29
821,"First",30
821,"First",31
821,"First",32
821,"First",33
821,"First",34
821,"First",35
821,"First",36
821,"First",37
821,"First",38
821,"First",39
239,"Second",40
239,"Second",41
239,"Second",42
239,"Second",43
239,"Second",44
239,"Second",45
239,"Second",46
239,"Second",47
239,"Second",48
239,"Second",49
175,"First",50
175,"First",51
175,"First",52
175,"First",53
175,"First",54
175,"First",55
175,"First",56
175,"First",57
175,"First",58
175,"First",59
962,"Second",60
962,"Second",61
962,"Second",62
962,"Second",63
962,"Second",64
962,"Second",65
962,"Second",66
962,"Second",67
962,"Second",68
962,"Second",69
831,"First",70
831,"First",71
831,"First",72
831,"First",73
831,"First",74
831,"First",75
831,"First",76
831,"First",77
831,"First",78
831,"First",79
161,"Second",80
161,"Second",81
161,"Second",82
161,"Second",83
161,"Second",84
161,"Second",85
161,"Second",86
161,"Second",87
161,"Second",88
161,"Second",89
164,"Second",90
164,"Second",91
164,"Second",92
164,"Second",93
164,"Second",94
164,"Second",95
164,"Second",96
164,"Second",97
164,"Second",98
164,"Second",99
996,"First",100
996,"First",101
996,"First",102
996,"First",103
996,"First",104
996,"First",105
996,"First",106
996,"First",107
996,"First",108
996,"First",109
173,"Second",110
173,"Second",111
173,"Second",112
173,"Second",113
173,"Second",114
173,"Second",115
173,"Second",116
173,"Second",117
173,"Second",118
173,"Second",119
214,"First",120
214,"First",121
214,"First",122
214,"First",123
214,"First",124
214,"First",125
214,"First",126
214,"First",127
214,"First",128
214,"First",129
298,"Second",130
298,"Second",131
298,"Second",132
298,"Second",133
298,"Second",134
298,"Second",135
298,"Second",136
298,"Second",137
298,"Second",138
298,"Second",139
55,"First",140
55,"First",141
55,"First",142
55,"First",143
55,"First",144
55,"First",145
55,"First",146
55,"First",147
55,"First",148
55,"First",149
494,"Second",150
494,"Second",151
494,"Second",152
494,"Second",153
494,"Second",154
494,"Second",155
494,"Second",156
494,"Second",157
494,"Second",158
494,"Second",159
989,"First",160
989,"First",161
989,"First",162
989,"First",163
989,"First",164
989,"First",165
989,"First",166
989,"First",167
989,"First",168
989,"First",169
217,"Second",170
217,"Second",171
217,"Second",172
217,"Second",173
217,"Second",174
217,"Second",175
217,"Second",176
217,"Second",177
217,"Second",178
217,"Second",179
362,"First",180
362,"First",181
362,"First",182
362,"First",183
362,"First",184
362,"First",185
362,"First",186
362,"First",187
362,"First",188
362,"First",189
876,"Second",190
876,"Second",191
876,"Second",192
876,"Second",193
876,"Second",194
876,"Second",195
876,"Second",196
876,"Second",197
876,"Second",198
876,"Second",199
912,"First",200
912,"First",201
912,"First",202
912,"First",203
912,"First",204
912,"First",205
912,"First",206
912,"First",207
912,"First",208
912,"First",209
176,"Second",210
176,"Second",211
176,"Second",212
176,"Second",213
176,"Second",214
176,"Second",215
176,"Second",216
176,"Second",217
176,"Second",218
176,"Second",219
53,"First",220
53,"First",221
53,"First",222
53,"First",223
53,"First",224
53,"First",225
53,"First",226
53,"First",227
53,"First",228
53,"First",229
259,"Second",230
259,"Second",231
259,"Second",232
259,"Second",233
259,"Second",234
259,"Second",235
259,"Second",236
259,"Second",237
259,"Second",238
259,"Second",239
692,"First",240
692,"First",241
692,"First",242
692,"First",243
692,"First",244
692,"First",245
692,"First",246
692,"First",247
692,"First",248
692,"First",249
103,"Second",250
103,"Second",251
103,"Second",252
103,"Second",253
103,"Second",254
103,"Second",255
103,"Second",256
103,"Second",257
103,"Second",258
103,"Second",259
281,"First",260
281,"First",261
281,"First",262
281,"First",263
281,"First",264
281,"First",265
281,"First",266
281,"First",267
281,"First",268
281,"First",269
90,"Second",270
90,"Second",271
90,"Second",272
90,"Second",273
90,"Second",274
90,"Second",275
90,"Second",276
90,"Second",277
90,"Second",278
90,"Second",279
509,"First",280
509,"First",281
509,"First",282
509,"First",283
509,"First",284
509,"First",285
509,"First",286
509,"First",287
509,"First",288
509,"First",289
535,"Second",290
535,"Second",291
535,"Second",292
535,"Second",293
535,"Second",294
535,"Second",295
535,"Second",296
535,"Second",297
535,"Second",298
535,"Second",299
867,"First",300
867,"First",301
867,"First",302
867,"First",303
867,"First",304
867,"First",305
867,"First",306
867,"First",307
867,"First",308
867,"First",309
84,"Second",310
84,"Second",311
84,"Second",312
84,"Second",313
84,"Second",314
84,"Second",315
84,"Second",316
84,"Second",317
84,"Second",318
84,"Second",319
765,"First",320
765,"First",321
765,"First",322
765,"First",323
765,"First",324
765,"First",325
765,"First",326
765,"First",327
765,"First",328
765,"First",329
557,"Second",330
557,"Second",331
557,"Second",332
557,"Second",333
557,"Second",334
557,"Second",335
557,"Second",336
557,"Second",337
557,"Second",338
557,"Second",339
606,"First",340
606,"First",341
606,"First",342
606,"First",343
606,"First",344
606,"First",345
606,"First",346
606,"First",347
606,"First",348
606,"First",349
235,"Second",350
235,"Second",351
235,"Second",352
235,"Second",353
235,"Second",354
235,"Second",355
235,"Second",356
235,"Second",357
235,"Second",358
235,"Second",359
992,"First",360
992,"First",361
992,"First",362
992,"First",363
992,"First",364
992,"First",365
992,"First",366
992,"First",367
992,"First",368
992,"First",369
43,"Second",370
43,"Second",371
43,"Second",372
43,"Second",373
43,"Second",374
43,"Second",375
43,"Second",376
43,"Second",377
43,"Second",378
43,"Second",379
726,"First",380
726,"First",381
726,"First",382
726,"First",383
726,"First",384
726,"First",385
726,"First",386
726,"First",387
726,"First",388
726,"First",389
909,"Second",390
909,"Second",391
909,"Second",392
909,"Second",393
909,"Second",394
909,"Second",395
909,"Second",396
909,"Second",397
909,"Second",398
909,"Second",399
675,"First",400
