,Subject,Trial,variable,value
0,S1,tr1,1,0.4161269873796167
1,S1,tr10,1,0.4266355596924181
2,S1,tr2,1,0.38610640518246336
3,S1,tr3,1,0.42336965648016
4,S1,tr4,1,0.3474617507242752
5,S1,tr5,1,0.3487446326045608
6,S1,tr6,1,0.3527024849272103
7,S1,tr7,1,0.3583137121814078
8,S1,tr8,1,0.29922607605050505
9,S1,tr9,1,0.36508871909709717
10,S10,tr1,1,0.16688541073678562
11,S10,tr10,1,0.23783843288181689
12,S10,tr2,1,0.1774195108991504
13,S10,tr3,1,0.21073266020188117
14,S10,tr4,1,0.13693386013378603
15,S10,tr5,1,0.2558111973415823
16,S10,tr6,1,0.3385245843268476
17,S10,tr7,1,0.2588974101374605
18,S10,tr8,1,0.3211900734071772
19,S10,tr9,1,0.23002168608186463
20,S1001,tr1,1,0.4782450124722721
21,S1001,tr10,1,0.4575975503722354
22,S1001,tr2,1,0.45730131830620374
23,S1001,tr3,1,0.42349787260648686
24,S1001,tr4,1,0.41162457637856004
25,S1001,tr5,1,0.45379961203142904
26,S1001,tr6,1,0.11094797809979001
27,S1001,tr7,1,0.23508302325314853
28,S1001,tr8,1,0.4558318804365698
29,S1001,tr9,1,0.42187641330072373
30,S1002,tr1,1,0.4258223092088741
31,S1002,tr10,1,0.2782376136237812
32,S1002,tr2,1,0.2648426566103309
33,S1002,tr3,1,0.5269073473672132
34,S1002,tr4,1,0.321790962207802
35,S1002,tr5,1,0.258810088635524
36,S1002,tr6,1,0.26021072147517216
37,S1002,tr7,1,0.13445050222092914
38,S1002,tr8,1,0.29323567594250205
39,S1002,tr9,1,0.27289823938637975
40,S1003,tr1,1,0.0894780521526577
41,S1003,tr10,1,0.146780916749898
42,S1003,tr2,1,0.16662246493837019
43,S1003,tr3,1,0.040268257412287435
44,S1003,tr4,1,0.16317145134551267
45,S1003,tr5,1,0.12528979509956142
46,S1003,tr6,1,0.1358351771114512
47,S1003,tr7,1,0.04676332064159402
48,S1003,tr8,1,0.13117198367053454
49,S1003,tr9,1,0.13265171366784256
50,S1004,tr1,1,0.49982776886303937
51,S1004,tr10,1,0.4768901851088311
52,S1004,tr2,1,0.5727601512824071
53,S1004,tr3,1,0.4928178438850271
54,S1004,tr4,1,0.10867249153939827
55,S1004,tr5,1,0.28503929471571604
56,S1004,tr6,1,0.3866293151297698
57,S1004,tr7,1,0.5525983059523273
58,S1004,tr8,1,0.509948500673316
59,S1004,tr9,1,0.33365538576560533
60,S1005,tr1,1,0.18072153667311458
61,S1005,tr10,1,0.20645463024409935
62,S1005,tr2,1,0.14175952106308184
63,S1005,tr3,1,0.2798931305793179
64,S1005,tr4,1,0.18047540536288983
65,S1005,tr5,1,0.2555047734148553
66,S1005,tr6,1,0.16348951400989498
67,S1005,tr7,1,0.2103888090359034
68,S1005,tr8,1,0.16132215180355416
69,S1005,tr9,1,0.07746719276706655
70,S1006,tr1,1,0.25858088341758656
71,S1006,tr10,1,0.1047917126596668
72,S1006,tr2,1,0.28331771904784175
73,S1006,tr3,1,0.15116880857320789
74,S1006,tr4,1,0.25092986184082755
75,S1006,tr5,1,0.27580267174130985
76,S1006,tr6,1,0.35065616828236273
77,S1006,tr7,1,0.2856565453416908
78,S1006,tr8,1,0.14795832822725466
79,S1006,tr9,1,0.18411446229635978
80,S1007,tr1,1,0.5234563490771529
81,S1007,tr10,1,0.373898745731381
82,S1007,tr2,1,0.09768905120082964
83,S1007,tr3,1,0.4237569985385211
84,S1007,tr4,1,0.37584592416124407
85,S1007,tr5,1,0.4453257343497123
86,S1007,tr6,1,0.4960641590368488
87,S1007,tr7,1,0.3766949700520661
88,S1007,tr8,1,0.45693966674462694
89,S1007,tr9,1,0.4282156742663761
90,S1009,tr1,1,0.610403118159338
91,S1009,tr10,1,0.5326228763281475
92,S1009,tr2,1,0.55822853059036
93,S1009,tr3,1,0.5898819704923886
94,S1009,tr4,1,0.4810695598034323
95,S1009,tr5,1,0.37262200383362587
96,S1009,tr6,1,0.4094394107267672
97,S1009,tr7,1,0.5377414060385121
98,S1009,tr8,1,0.5334218924496081
99,S1009,tr9,1,0.5787293951331302
100,S1010,tr1,1,0.3766456112876763
101,S1010,tr10,1,0.25169909723822237
102,S1010,tr2,1,0.17859711194622122
103,S1010,tr3,1,0.2907844254964366
104,S1010,tr4,1,0.13553217341646642
105,S1010,tr5,1,0.05839011766792205
106,S1010,tr6,1,0.2741548013391111
107,S1010,tr7,1,0.12185508107234488
108,S1010,tr8,1,0.29004127537023255
109,S1010,tr9,1,0.10970467533479253
110,S1011,tr1,1,0.30547041232938177
111,S1011,tr10,1,0.2850429966328762
112,S1011,tr2,1,0.2745133705720381
113,S1011,tr3,1,0.2557065023934262
114,S1011,tr4,1,0.42476549579799294
115,S1011,tr5,1,0.27357288309428696
116,S1011,tr6,1,0.3379560761108262
117,S1011,tr7,1,0.38450697688493846
118,S1011,tr8,1,0.3250723204324991
119,S1011,tr9,1,0.44918172925316474
120,S1012,tr1,1,0.08322312615327225
121,S1012,tr10,1,0.6917545658922327
122,S1012,tr2,1,0.39093861983925293
123,S1012,tr3,1,0.11696309583360917
124,S1012,tr4,1,0.6263216663993275
125,S1012,tr5,1,0.45172635203173345
126,S1012,tr6,1,0.5816837303200685
127,S1012,tr7,1,0.3360250072815322
128,S1012,tr8,1,0.613995690108936
129,S1012,tr9,1,0.614900169490807
130,S1013,tr1,1,0.5088646532012947
131,S1013,tr10,1,0.26553946478153756
132,S1013,tr2,1,0.4453753255550326
133,S1013,tr3,1,0.29099430601305915
134,S1013,tr4,1,0.24721443967499704
135,S1013,tr5,1,0.27922162149490803
136,S1013,tr6,1,0.3145668541465497
137,S1013,tr7,1,0.15423662339164687
138,S1013,tr8,1,0.16633182916921227
139,S1013,tr9,1,0.3803759730350011
140,S1014,tr1,1,0.07278085146609299
141,S1014,tr10,1,0.1803103835093608
142,S1014,tr2,1,0.2596310777248196
143,S1014,tr3,1,0.26920536727218536
144,S1014,tr4,1,0.2837927094310484
145,S1014,tr5,1,0.3283891399344719
146,S1014,tr6,1,0.24469722475978858
147,S1014,tr7,1,0.22479843003075636
148,S1014,tr8,1,0.31532879058684776
149,S1014,tr9,1,0.14505517389394604
150,S1015,tr1,1,0.23529929693430757
151,S1015,tr10,1,0.21763737531474206
152,S1015,tr2,1,0.3158274791464832
153,S1015,tr3,1,0.4124447295651586
154,S1015,tr4,1,0.39551609245275465
